old_path,new_path,category,reason
data/curated/batch/batch_001.png,data/curated/batch/batch_001.png,batch,already_named
data/curated/batch/batch_002.png,data/curated/batch/batch_002.png,batch,already_named
data/curated/batch/batch_003.png,data/curated/batch/batch_003.png,batch,already_named
data/curated/batch/batch_004.png,data/curated/batch/batch_004.png,batch,already_named
data/curated/batch/batch_005.png,data/curated/batch/batch_005.png,batch,already_named
data/curated/batch/batch_006.png,data/curated/batch/batch_006.png,batch,already_named
data/curated/edge/edge_001.jpg,data/curated/edge/edge_001.jpg,edge,already_named
data/curated/five_seat/five_seat_001.png,data/curated/five_seat/five_seat_001.png,five_seat,already_named
data/curated/five_seat/five_seat_002.png,data/curated/five_seat/five_seat_002.png,five_seat,already_named
data/results/result_1783321789763.png,data/results/result_annotated_001.png,result_annotated,rename_by_purpose
data/results/result_1783322196689.png,data/results/result_annotated_002.png,result_annotated,rename_by_purpose
data/results/result_1783322555939.png,data/results/result_annotated_003.png,result_annotated,rename_by_purpose
data/results/result_1783322828051.png,data/results/result_annotated_004.png,result_annotated,rename_by_purpose
data/results/result_1783323305693.png,data/results/result_annotated_005.png,result_annotated,rename_by_purpose
data/results/result_1783323325376.png,data/results/result_annotated_006.png,result_annotated,rename_by_purpose
data/results/result_1783323335623.png,data/results/result_annotated_007.png,result_annotated,rename_by_purpose
data/results/result_1783323691250.png,data/results/result_annotated_008.png,result_annotated,rename_by_purpose
data/results/result_1783323929341.png,data/results/result_annotated_009.png,result_annotated,rename_by_purpose
data/results/result_1783325164965.png,data/results/result_annotated_010.png,result_annotated,rename_by_purpose
data/results/result_1783325183752.png,data/results/result_annotated_011.png,result_annotated,rename_by_purpose
data/results/result_1783325189951.png,data/results/result_annotated_012.png,result_annotated,rename_by_purpose
data/results/result_1783325777111.png,data/results/result_annotated_013.png,result_annotated,rename_by_purpose
data/results/result_1783325800242.png,data/results/result_annotated_014.png,result_annotated,rename_by_purpose
data/results/result_1783325805056.png,data/results/result_annotated_015.png,result_annotated,rename_by_purpose
data/results/result_1783325808715.png,data/results/result_annotated_016.png,result_annotated,rename_by_purpose
data/results/result_1783408555449.png,data/results/result_annotated_017.png,result_annotated,rename_by_purpose
data/results/result_1783408591525.png,data/results/result_annotated_018.png,result_annotated,rename_by_purpose
data/results/result_1783408598092.png,data/results/result_annotated_019.png,result_annotated,rename_by_purpose
data/results/result_1783408602972.png,data/results/result_annotated_020.png,result_annotated,rename_by_purpose
data/samples/test1.png,data/samples/sample_batch_001.png,sample_batch,rename_by_purpose
data/samples/test2.png,data/samples/sample_batch_002.png,sample_batch,rename_by_purpose
data/samples/test3_5人图.png,data/samples/sample_five_seat_001.png,sample_five_seat,rename_by_purpose
data/samples/test3_5人图_视角抬高版.png,data/samples/sample_five_seat_002.png,sample_five_seat,rename_by_purpose
data/samples/test3_tmp.jpg,data/samples/sample_edge_001.jpg,sample_edge,rename_by_purpose
data/uploads/1783320937433.png,data/uploads/upload_batch_001.png,upload_batch,rename_by_purpose
data/uploads/1783321131293.png,data/uploads/upload_batch_002.png,upload_batch,rename_by_purpose
data/uploads/1783321789763.png,data/uploads/upload_batch_003.png,upload_batch,rename_by_purpose
data/uploads/1783322196689.png,data/uploads/upload_batch_004.png,upload_batch,rename_by_purpose
data/uploads/1783322555939.png,data/uploads/upload_batch_005.png,upload_batch,rename_by_purpose
data/uploads/1783322828051.png,data/uploads/upload_batch_006.png,upload_batch,rename_by_purpose
data/uploads/1783323305693.png,data/uploads/upload_batch_007.png,upload_batch,rename_by_purpose
data/uploads/1783323325376.png,data/uploads/upload_batch_008.png,upload_batch,rename_by_purpose
data/uploads/1783323335623.png,data/uploads/upload_batch_009.png,upload_batch,rename_by_purpose
data/uploads/1783323691250.png,data/uploads/upload_batch_010.png,upload_batch,rename_by_purpose
data/uploads/1783323929341.png,data/uploads/upload_batch_011.png,upload_batch,rename_by_purpose
data/uploads/1783325164965.png,data/uploads/upload_batch_012.png,upload_batch,rename_by_purpose
data/uploads/1783325183752.png,data/uploads/upload_batch_013.png,upload_batch,rename_by_purpose
data/uploads/1783325189951.png,data/uploads/upload_batch_014.png,upload_batch,rename_by_purpose
data/uploads/1783325777111.png,data/uploads/upload_batch_015.png,upload_batch,rename_by_purpose
data/uploads/1783325800242.png,data/uploads/upload_batch_016.png,upload_batch,rename_by_purpose
data/uploads/1783325805056.png,data/uploads/upload_batch_017.png,upload_batch,rename_by_purpose
data/uploads/1783325808715.png,data/uploads/upload_batch_018.png,upload_batch,rename_by_purpose
data/uploads/1783408555449.png,data/uploads/upload_batch_019.png,upload_batch,rename_by_purpose
data/uploads/1783408591525.png,data/uploads/upload_batch_020.png,upload_batch,rename_by_purpose
data/uploads/1783408598092.png,data/uploads/upload_batch_021.png,upload_batch,rename_by_purpose
data/uploads/1783408602972.png,data/uploads/upload_batch_022.png,upload_batch,rename_by_purpose
